seed,e_Fe_area,e_Cu_area,e_C_area,e_S_area,e_starting_area_pos_x,e_starting_area_pos_y,e_Fe_C_d,e_Fe_Cu_d,e_fe_S_d,e_C_lake_d,s_Fe_area,s_Cu_area,s_C_area,s_S_area,s_starting_area_pos_x,s_starting_area_pos_y,s_Fe_C_d,s_Fe_Cu_d,s_fe_S_d,s_C_lake_d,w_Fe_area,w_Cu_area,w_C_area,w_S_area,w_starting_area_pos_x,w_starting_area_pos_y,w_Fe_C_d,w_Fe_Cu_d,w_fe_S_d,w_C_lake_d,n_Fe_area,n_Cu_area,n_C_area,n_S_area,n_starting_area_pos_x,n_starting_area_pos_y,n_Fe_C_d,n_Fe_Cu_d,n_fe_S_d,n_C_lake_d
5000,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,3300,3000,300,300,12,155,1.0,0.7,13.0,255.0
5002,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5004,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5006,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5008,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5010,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5012,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,3300,3000,300,300,220,95,90.0,78.4,59.2,255.0
5014,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5016,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5018,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5020,3300,3000,300,300,304,237,143.0,56.0,0.2,255.0,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5022,0,0,0,0,0,0,inf,inf,inf,inf,3300,3000,300,300,94,33,56.0,35.0,28.4,255.0,0,0,0,0,0,0,inf,inf,inf,inf,3300,3000,300,300,229,255,53.0,16.1,60.0,255.0
5024,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5026,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,3300,3000,300,300,99,92,2.0,34.3,12.8,255.0,0,0,0,0,0,0,inf,inf,inf,inf
5028,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5030,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,3300,3000,300,300,83,94,117.0,0.7,39.8,255.0,0,0,0,0,0,0,inf,inf,inf,inf
5032,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5034,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5036,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5038,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,3300,3000,300,300,30,124,1.0,72.799995,27.800001,255.0
5040,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5042,3300,3000,300,300,59,165,59.0,130.2,7.8,255.0,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5044,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5046,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5048,0,0,0,0,0,0,inf,inf,inf,inf,3300,3000,300,300,164,50,1.0,14.7,52.4,255.0,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5050,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5052,0,0,0,0,0,0,inf,inf,inf,inf,3300,3000,300,300,270,49,17.0,54.6,7.6,255.0,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5054,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5056,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5058,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5060,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5062,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5064,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5066,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5068,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5070,3300,3000,300,300,110,211,93.0,69.299995,15.400001,255.0,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5072,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5074,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5076,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5078,0,0,0,0,0,0,inf,inf,inf,inf,3300,3000,300,300,121,238,79.0,136.5,41.8,255.0,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5080,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5082,0,0,0,0,0,0,inf,inf,inf,inf,3300,3000,300,300,251,207,40.0,53.899998,36.4,255.0,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5084,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5086,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5088,0,0,0,0,0,0,inf,inf,inf,inf,3300,3000,300,300,210,183,147.0,51.1,12.0,255.0,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5090,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5092,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5094,3300,3000,300,300,237,180,1.0,49.7,19.800001,255.0,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5096,3300,3000,300,300,269,147,66.0,1.4,32.2,255.0,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5098,0,0,0,0,0,0,inf,inf,inf,inf,3300,3000,300,300,190,140,49.0,24.5,42.600002,255.0,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5100,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5102,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5104,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,3300,3000,300,300,43,127,13.0,0.7,5.2000003,255.0
5106,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5108,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5110,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5112,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5114,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,3300,3000,300,300,18,99,29.0,72.1,26.2,255.0,0,0,0,0,0,0,inf,inf,inf,inf
5116,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5118,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5120,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
5122,3300,3000,300,300,231,269,1.0,37.8,30.800001,255.0,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf,0,0,0,0,0,0,inf,inf,inf,inf
